Algorithm,Processors,Avg_Latency(us)
0,2,7.06
0,4,6174.40
0,8,3309.92
0,16,14.06
0,32,3583.51
0,48,65.13
0,64,4.90
0,96,10.77
0,128,6.55
0,176,7086.95
0,224,7259.53
0,256,142.12
1,2,11.65
1,4,137.47
1,8,12.61
1,16,21.78
1,32,136.76
1,48,39.86
1,64,173.88
1,96,292.72
1,128,395.51
1,176,2342.05
1,224,3823.22
1,256,4744.16
2,2,5.03
2,4,23.28
2,8,38.12
2,16,94.21
2,32,216.22
2,48,327.36
2,64,2227.05
2,96,3339.89
2,128,4827.86
2,176,39473.92
2,224,33866.87
2,256,36682.26
4,2,7.33
4,4,5478.02
4,8,2120.38
4,16,84.86
4,32,7641.43
4,48,138.74
4,64,4.44
4,96,6.98
4,128,7.09
4,176,4558.35
4,224,6447.27
4,256,5816.56
0,2,3580.47
0,4,5791.23
0,8,5858.30
0,16,1130.24
0,32,4499.12
0,48,38.06
0,64,11.59
0,96,30.71
0,128,12.05
0,176,2590.06
0,224,5015.76
0,256,115.12
1,2,3841.49
1,4,16.35
1,8,869.61
1,16,4968.91
1,32,4496.48
1,48,545.80
1,64,162.77
1,96,296.33
1,128,419.23
1,176,2249.58
1,224,3839.54
1,256,4683.17
2,2,5.41
2,4,20.73
2,8,34.67
2,16,83.85
2,32,216.30
2,48,343.23
2,64,2205.67
2,96,3290.97
2,128,4845.93
2,176,11919.79
2,224,15693.82
2,256,30296.04
4,2,3413.03
4,4,3026.10
4,8,2027.21
4,16,11.33
4,32,34.82
4,48,38.31
4,64,6.10
4,96,11.85
4,128,9.93
4,176,7050.67
4,224,5958.63
4,256,6555.17
0,2,151.50
0,4,4119.04
0,8,1211.63
0,16,12.39
0,32,3780.11
0,48,61.93
0,64,6.44
0,96,8.19
0,128,16.07
0,176,6340.99
0,224,6560.67
0,256,185.40
1,2,353.17
1,4,5804.28
1,8,19.00
1,16,20.96
1,32,2016.56
1,48,360.22
1,64,180.53
1,96,288.76
1,128,420.71
1,176,2328.30
1,224,3783.78
1,256,4770.94
2,2,24.99
2,4,18.16
2,8,36.50
2,16,107.09
2,32,200.84
2,48,338.82
2,64,2227.97
2,96,3268.16
2,128,4813.84
2,176,40146.87
2,224,33085.07
2,256,31329.18
4,2,5.81
4,4,123.74
4,8,3417.21
4,16,19.52
4,32,6859.64
4,48,3014.71
4,64,8.03
4,96,10.82
4,128,12.74
4,176,6948.62
4,224,7098.12
4,256,4737.52
0,2,3680.00
0,4,281.91
0,8,9.29
0,16,2771.26
0,32,20.63
0,48,50.17
0,64,5.97
0,96,9.18
0,128,11.63
0,176,7029.73
0,224,6830.95
0,256,163.57
1,2,37.24
1,4,3062.33
1,8,6749.24
1,16,6450.27
1,32,3740.09
1,48,432.28
1,64,158.45
1,96,310.98
1,128,433.24
1,176,2354.24
1,224,3735.00
1,256,4785.28
2,2,5.86
2,4,14.23
2,8,47.07
2,16,97.77
2,32,211.52
2,48,342.62
2,64,2202.16
2,96,3310.23
2,128,4784.72
2,176,36316.82
2,224,33953.29
2,256,16745.55
4,2,2686.86
4,4,3124.00
4,8,1139.24
4,16,28.54
4,32,19.07
4,48,191.95
4,64,7.45
4,96,8.15
4,128,14.34
4,176,5307.47
4,224,7101.89
4,256,6610.26
0,2,4102.72
0,4,23.27
0,8,182.54
0,16,12.85
0,32,3010.50
0,48,10455.09
0,64,18.53
0,96,8.47
0,128,7.86
0,176,6786.86
0,224,5738.62
0,256,181.05
1,2,232.18
1,4,26.52
1,8,48.22
1,16,2655.01
1,32,9433.90
1,48,27.90
1,64,162.69
1,96,276.00
1,128,406.42
1,176,2267.69
1,224,3920.13
1,256,4808.62
2,2,5.63
2,4,52.34
2,8,45.16
2,16,92.17
2,32,224.74
2,48,353.39
2,64,2354.47
2,96,3269.65
2,128,4903.14
2,176,37402.97
2,224,35151.26
2,256,16695.21
4,2,2.63
4,4,4014.32
4,8,6663.74
4,16,2236.91
4,32,74.37
4,48,2790.27
4,64,11.30
4,96,12.42
4,128,157.49
4,176,7017.95
4,224,7683.91
4,256,5054.14
0,2,5.56
0,4,22.01
0,8,107.48
0,16,1185.95
0,32,7835.81
0,48,64.03
0,64,10.23
0,96,14.48
0,128,237.21
0,176,2865.38
0,224,6963.00
0,256,182.84
1,2,3782.76
1,4,26.10
1,8,4121.83
1,16,12471.04
1,32,2618.14
1,48,637.87
1,64,166.04
1,96,279.71
1,128,414.60
1,176,2211.25
1,224,3848.51
1,256,4745.53
2,2,14.74
2,4,12.64
2,8,41.05
2,16,93.53
2,32,222.25
2,48,329.59
2,64,2259.10
2,96,3940.49
2,128,4796.56
2,176,63094.60
2,224,15613.70
2,256,31347.33
4,2,3648.93
4,4,14.82
4,8,6114.42
4,16,2392.97
4,32,4632.07
4,48,7677.94
4,64,158.01
4,96,11.39
4,128,9.41
4,176,2658.67
4,224,6651.52
4,256,2463.75
0,2,162.16
0,4,4516.56
0,8,217.63
0,16,18.39
0,32,27.42
0,48,191.95
0,64,7.47
0,96,11.55
0,128,129.11
0,176,6853.82
0,224,7339.61
0,256,214.53
1,2,164.30
1,4,5985.79
1,8,7.57
1,16,6598.57
1,32,19.34
1,48,36.76
1,64,167.11
1,96,288.71
1,128,414.68
1,176,2298.69
1,224,3855.00
1,256,4636.68
2,2,7.79
2,4,9.04
2,8,44.32
2,16,90.99
2,32,974.93
2,48,352.89
2,64,2322.44
2,96,3333.33
2,128,4901.06
2,176,41336.89
2,224,15839.73
2,256,17103.68
4,2,4.31
4,4,86.19
4,8,3840.06
4,16,1103.72
4,32,4444.08
4,48,267.91
4,64,7.81
4,96,11.60
4,128,7.91
4,176,6347.26
4,224,7282.35
4,256,7443.97
0,2,268.72
0,4,6.89
0,8,30.45
0,16,945.34
0,32,20.14
0,48,183.17
0,64,7.22
0,96,7.37
0,128,10.06
0,176,6766.83
0,224,7367.60
0,256,121.67
1,2,386.19
1,4,7500.37
1,8,1528.32
1,16,4869.00
1,32,3404.54
1,48,18671.18
1,64,164.61
1,96,290.01
1,128,391.64
1,176,2174.45
1,224,3973.86
1,256,4668.84
2,2,5.44
2,4,13.24
2,8,44.74
2,16,99.77
2,32,225.01
2,48,353.32
2,64,2136.77
2,96,3274.69
2,128,4814.58
2,176,38422.38
2,224,33789.63
2,256,33675.88
4,2,4.16
4,4,75.52
4,8,4466.89
4,16,12.72
4,32,2767.31
4,48,122.39
4,64,8.40
4,96,9.75
4,128,11.18
4,176,5900.85
4,224,6759.27
4,256,3677.27
0,2,3435.44
0,4,223.98
0,8,290.47
0,16,58.05
0,32,35.64
0,48,50.54
0,64,7.13
0,96,17.54
0,128,18.02
0,176,6005.34
0,224,6040.24
0,256,141.19
1,2,4012.22
1,4,147.56
1,8,6776.00
1,16,25.55
1,32,7587.98
1,48,57.99
1,64,167.58
1,96,294.15
1,128,374.37
1,176,2242.80
1,224,3881.60
1,256,4844.73
2,2,5.14
2,4,9.82
2,8,45.86
2,16,90.80
2,32,210.46
2,48,345.43
2,64,2288.54
2,96,3348.09
2,128,4643.04
2,176,40241.37
2,224,17343.07
2,256,17725.10
4,2,3.52
4,4,6370.59
4,8,2437.13
4,16,137.72
4,32,43.18
4,48,4251.89
4,64,7.01
4,96,11.70
4,128,177.78
4,176,6304.26
4,224,6686.99
4,256,4943.11
0,2,3362.86
0,4,127.71
0,8,99.13
0,16,9.20
0,32,409.14
0,48,76.14
0,64,7.95
0,96,9.27
0,128,9.88
0,176,6350.04
0,224,7333.06
0,256,130.70
1,2,15.63
1,4,9389.35
1,8,19.67
1,16,23.58
1,32,40.22
1,48,306.05
1,64,178.27
1,96,293.90
1,128,450.67
1,176,2213.67
1,224,3936.59
1,256,4760.42
2,2,7.21
2,4,13.68
2,8,36.80
2,16,91.18
2,32,212.88
2,48,346.83
2,64,2227.22
2,96,3237.36
2,128,4763.60
2,176,12904.54
2,224,31910.56
2,256,16994.84
4,2,2186.58
4,4,5033.11
4,8,5754.59
4,16,22.62
4,32,25.93
4,48,149.13
4,64,452.45
4,96,11.75
4,128,6.64
4,176,5545.70
4,224,6490.70
4,256,6912.28
0,2,3.56
0,4,13.40
0,8,248.79
0,16,16.25
0,32,20.63
0,48,59.07
0,64,6.37
0,96,6.84
0,128,9.12
0,176,5608.30
0,224,7835.59
0,256,147.25
1,2,6.14
1,4,4134.70
1,8,13.91
1,16,19.83
1,32,23.50
1,48,5256.36
1,64,168.51
1,96,304.71
1,128,505.23
1,176,2170.85
1,224,3871.00
1,256,4749.23
2,2,12.86
2,4,16.33
2,8,46.18
2,16,88.34
2,32,224.44
2,48,318.81
2,64,2186.19
2,96,3312.88
2,128,4614.66
2,176,12512.52
2,224,17042.81
2,256,31326.46
4,2,182.16
4,4,148.01
4,8,14.30
4,16,1698.37
4,32,35.02
4,48,56.88
4,64,693.70
4,96,12.60
4,128,63.03
4,176,7280.31
4,224,6233.59
4,256,6504.30
0,2,3404.44
0,4,20.47
0,8,17.38
0,16,22.28
0,32,3240.68
0,48,60.25
0,64,8.72
0,96,19.81
0,128,8.97
0,176,7461.86
0,224,7050.64
0,256,166.44
1,2,9.51
1,4,7.60
1,8,9114.42
1,16,16.41
1,32,25.12
1,48,29.85
1,64,164.34
1,96,298.03
1,128,431.49
1,176,2246.32
1,224,3837.84
1,256,4696.22
2,2,5.48
2,4,14.83
2,8,35.48
2,16,110.02
2,32,238.42
2,48,352.05
2,64,2325.83
2,96,3326.46
2,128,4822.68
2,176,38409.26
2,224,33547.99
2,256,37200.91
4,2,95.29
4,4,15.38
4,8,2856.91
4,16,30.63
4,32,29.01
4,48,404.64
4,64,8.14
4,96,9.24
4,128,8.70
4,176,2983.71
4,224,7296.01
4,256,6170.43
0,2,4028.16
0,4,35.19
0,8,17.88
0,16,581.22
0,32,3628.99
0,48,49.38
0,64,7.01
0,96,13.13
0,128,18.61
0,176,5126.20
0,224,7281.12
0,256,151.79
1,2,16.35
1,4,359.05
1,8,9.91
1,16,483.01
1,32,7810.42
1,48,43.31
1,64,160.38
1,96,290.73
1,128,417.25
1,176,2443.32
1,224,3758.23
1,256,4766.05
2,2,9.61
2,4,20.55
2,8,51.01
2,16,105.33
2,32,233.35
2,48,333.27
2,64,2254.40
2,96,3281.66
2,128,4893.47
2,176,43212.09
2,224,33120.87
2,256,30729.67
4,2,3586.50
4,4,3667.23
4,8,21.15
4,16,1833.25
4,32,3654.60
4,48,2959.89
4,64,11.99
4,96,15.19
4,128,75.74
4,176,6532.75
4,224,7229.25
4,256,5997.22
0,2,3543.85
0,4,20.79
0,8,4735.59
0,16,698.72
0,32,2677.23
0,48,7487.16
0,64,8.28
0,96,6.84
0,128,9.33
0,176,4686.83
0,224,7239.18
0,256,140.11
1,2,5.01
1,4,82.25
1,8,20.44
1,16,6285.49
1,32,3373.67
1,48,362.46
1,64,156.93
1,96,286.49
1,128,384.02
1,176,2173.29
1,224,3774.46
1,256,4771.53
2,2,7.13
2,4,13.63
2,8,42.41
